example_id                                                 | status  | run_time        |
---------------------------------------------------------- | ------- | --------------- |
./spec/features/stripe_checkout_spec.rb[1:1:1:1]           | passed  | 4.47 seconds    |
./spec/features/stripe_checkout_spec.rb[1:1:1:2:1]         | passed  | 1.79 seconds    |
./spec/features/stripe_checkout_spec.rb[1:1:2:1]           | passed  | 1.76 seconds    |
./spec/features/stripe_checkout_spec.rb[1:1:3:1]           | passed  | 1.31 seconds    |
./spec/features/stripe_checkout_spec.rb[1:2:1]             | passed  | 1.85 seconds    |
./spec/features/stripe_checkout_spec.rb[1:3:1]             | passed  | 1.07 seconds    |
./spec/models/gateway/authorize_net_cim_spec.rb[1:1:1]     | passed  | 0.00187 seconds |
./spec/models/gateway/authorize_net_cim_spec.rb[1:2:1]     | passed  | 0.00668 seconds |
./spec/models/gateway/authorize_net_cim_spec.rb[1:3:1]     | passed  | 0.00238 seconds |
./spec/models/gateway/authorize_net_cim_spec.rb[1:3:2]     | passed  | 0.0028 seconds  |
./spec/models/gateway/authorize_net_spec.rb[1:1:1]         | passed  | 0.10141 seconds |
./spec/models/gateway/authorize_net_spec.rb[1:2:1]         | passed  | 0.00398 seconds |
./spec/models/gateway/authorize_net_spec.rb[1:2:2]         | passed  | 0.00496 seconds |
./spec/models/gateway/balanced_gateway_spec.rb[1:1:1]      | passed  | 0.00464 seconds |
./spec/models/gateway/balanced_gateway_spec.rb[1:2:1]      | passed  | 0.00862 seconds |
./spec/models/gateway/banwire_spec.rb[1:1:1]               | passed  | 0.00916 seconds |
./spec/models/gateway/beanstream_spec.rb[1:1:1]            | passed  | 0.00775 seconds |
./spec/models/gateway/beanstream_spec.rb[1:2:1]            | passed  | 0.00299 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:1:1:1]   | passed  | 12.51 seconds   |
./spec/models/gateway/braintree_gateway_spec.rb[1:2:1]     | passed  | 0.45004 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:3:1:1]   | passed  | 0.06464 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:3:2:1]   | passed  | 0.04414 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:3:2:2]   | passed  | 0.04544 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:3:2:3]   | passed  | 0.04608 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:4:1]     | passed  | 0.05816 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:5:1]     | passed  | 0.06454 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:6:1]     | passed  | 0.06048 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:1:1]   | passed  | 0.06017 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:2:1:1] | passed  | 0.05202 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:2:2:1] | passed  | 0.0594 seconds  |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:3]     | passed  | 0.67741 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:4:1:1] | passed  | 1.89 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:5:1:1] | passed  | 1.73 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:6:1:1] | passed  | 2.2 seconds     |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:7:1:1] | passed  | 1.62 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:7:8:1:1] | passed  | 1.67 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:8:1]     | passed  | 3.06 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:8:2]     | passed  | 2.83 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:9:1]     | passed  | 0.88196 seconds |
./spec/models/gateway/braintree_gateway_spec.rb[1:9:2]     | passed  | 2.37 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:9:3]     | passed  | 1.18 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:10:1]    | pending | 1.8 seconds     |
./spec/models/gateway/braintree_gateway_spec.rb[1:11:1]    | passed  | 2.97 seconds    |
./spec/models/gateway/braintree_gateway_spec.rb[1:12:1]    | passed  | 0.55886 seconds |
